"protocol" "tgs" "np" "nc" "tf"
"fins" "81cccd" 1 1 1
"fins" "010182" 1 1 1
"fins" "010192" 1 1 1
"fins" "062000" 1 1 1
"fins" "0480ff" 1 1 1
"fins" "000141" 1 1 1
"fins" "0198cc" 1 1 1
"fins" "010280" 1 1 1
"fins" "7a0308" 1 1 1
"fins" "210000" 1 1 1
"fins" "018002" 1 1 1
"fins" "444546" 1 1 1
"fins" "010103" 1 1 1
"fins" "0196cc" 1 1 1
"fins" "0101cc" 1 1 1
"fins" "016161" 1 1 1
"fins" "060380" 1 1 1
"fins" "030600" 1 1 1
"fins" "00534e" 1 1 1
"fins" "418000" 1 1 1
"fins" "010185" 1 1 1
"fins" "81cccc" 1 1 1
"fins" "448000" 1 1 1
"fins" "130000" 1 1 1
"fins" "7a0101" 1 1 1
"fins" "97cccc" 1 1 1
"fins" "0194cc" 1 1 1
"fins" "010193" 1 1 1
"fins" "0103cc" 1 1 1
"fins" "7a0601" 1 1 1
"fins" "ffff50" 1 1 1
"fins" "03cccc" 1 1 1
"fins" "090120" 1 1 1
"fins" "000280" 1 1 1
"fins" "007a02" 1 1 1
"fins" "801100" 1 1 1
"fins" "01010a" 1 1 1
"fins" "0300cc" 1 1 1
"fins" "7a0620" 1 1 1
"fins" "000004" 1 1 1
"fins" "414243" 1 1 1
"fins" "801000" 1 1 1
"fins" "7a0102" 1 1 1
"fins" "010190" 1 1 1
"fins" "82cccc" 1 1 1
"fins" "040100" 1 1 1
"fins" "7a0401" 1 1 1
"fins" "010105" 1 1 1
"fins" "022000" 1 1 1
"fins" "7a0202" 1 1 1
"fins" "ff8000" 1 1 1
"fins" "0200cc" 1 1 1
"fins" "110000" 1 1 1
"fins" "7a0103" 1 1 1
"fins" "010191" 1 1 1
"fins" "0185cc" 1 1 1
"fins" "200102" 1 1 1
"fins" "022100" 1 1 1
"fins" "05cccc" 1 1 1
"fins" "0182cc" 1 1 1
"fins" "070209" 1 1 1
"fins" "050100" 1 1 1
"fins" "007a04" 1 1 1
"fins" "048000" 1 1 1
"fins" "ffff40" 1 1 1
"fins" "cc0002" 1 1 1
"fins" "038000" 1 1 1
"fins" "ce0010" 1 1 1
"fins" "94cccc" 1 1 1
"fins" "050201" 1 1 1
"fins" "544180" 1 1 1
"fins" "ff4441" 1 1 1
"fins" "018013" 1 1 1
"fins" "7a0104" 1 1 1
"fins" "010196" 1 1 1
